toi,tid,tfopwg_disp,pl_orbper,pl_trandep,pl_tranmid
"1325.01",274942910,"FP",1.0793011,1562.0000000,2460393.5525550
"1326.01",275111900,"FP",8.0428575,18730.0000000,2459823.0910160
"1327.01",312083267,"APC",3.9392211,1468.0000000,2460553.8910460
"1328.01",330332501,"FP",4.0157492,1150.0000000,2459819.7895190
"1329.01",345996087,"FP",2.0197600,3963.8500000,2458712.7232200
"1330.01",357457104,"FP",1.7480540,670.0000000,2459852.1489770
"1331.01",387664866,"FP",2.6564600,773.3690000,2458712.5175800
"1332.01",387664868,"FP",2.6568800,1959.8800000,2458712.5136900
"1334.01",42123111,"FP",4.0334900,1530.0000000,2458686.4671000
"1335.01",89759617,"FP",3.3295394,2620.0000000,2459817.6594260
"1336.01",92783821,"FP",3.8615978,1020.0000000,2459442.0683340
"1337.01",160708862,"KP",3.3448312,13626.0000000,2460087.9397190
"1340.01",233681149,"FP",8.5874668,1904.8131484,2458683.6896290
"1341.01",233390838,"FP",6.4474918,9270.0000000,2459820.5729940
"1342.01",256621916,"FP",1.4136455,2427.0000000,2460352.5780930
"1343.01",358631536,"FP",3.4040139,935.0000000,2460552.9409390
"1344.01",1400770435,"FP",13.7432169,5046.0000000,2460637.8676820
"1345.01",160487753,"PC",8.4713400,540.0000000,2458715.4594800
"1346.01",219852882,"CP",5.5025577,844.7022676,2459766.2249450
"1346.02",219852882,"CP",1.7622537,733.5550822,2459741.8871130
"1347.01",229747848,"CP",0.8474218,424.3932848,2459664.0269590
"1347.02",229747848,"CP",4.8420438,318.6638392,2459656.5826090
"1348.01",229770036,"FP",2.1405600,355.8315803,2458684.5017300
"1349.01",272635712,"APC",12.7167200,388.1260000,2458693.5740500
"1350.01",233953967,"PC",5.5402372,2710.0000000,2459851.2883940
"1351.01",1718201850,"APC",5.9294089,14536.0000000,2460654.5656500
"1352.01",336740528,"APC",5.2958813,5100.0000000,2460604.7774840
"1353.01",279177746,"FP",4.4350025,2085.0000000,2460551.5538030
"1354.01",365683032,"FP",1.4287976,1768.0000000,2460556.6016950
"1355.01",372264750,"PC",2.1702725,5156.7735359,2459853.5821790
"1356.01",277566483,"PC",24.2544697,8802.0000000,2459849.2422330
"1358.01",275501623,"FP",1.6734600,390.0000000,2458739.5991100
"1359.01",416624606,"FP",2.5152549,1870.0000000,2459821.8041880
"1360.01",330468175,"FP",0.7090200,570.0000000,2458739.2800000
"1361.01",277447970,"PC",2.2374620,4281.0000000,2460608.7087630
"1362.01",395142888,"PC",1.9173816,664.0000000,2460422.9589130
"1363.01",230017325,"FP",9.6926509,1393.0000000,2460649.2169070
"1364.01",26880783,"PC",1.7753644,878.0000000,2460530.0347440
"1365.01",367099243,"FP",1.8286961,7283.0000000,2460421.8988530
"1366.01",120602501,"FP",14.8626982,8264.2193919,2459830.7727850
"1367.01",129539786,"FP",2.0881134,730.0000000,2459850.2482030
"1368.01",136971594,"FP",1.2556200,290.0000000,2458711.8136900
"1369.01",155005217,"FP",7.6047417,1200.0000000,2459867.2069610
"1370.01",155114483,"FP",5.2651271,3450.0000000,2459877.3684080
"1371.01",162130054,"APC",5.0095595,8700.0000000,2459848.5252930
"1372.01",164150539,"FP",6.1600888,1120.0000000,2459850.5437590
"1373.01",176899385,"KP",3.8529998,8913.0000000,2460605.0388130
"1374.01",190430205,"FP",1.0688400,470.0000000,2458712.0686600
"1375.01",190442486,"FP",5.4561177,1360.0000000,2459850.1310400
"1376.01",190743990,"FP",1.7380504,956.0000000,2460582.4871670
"1377.01",240613164,"FP",1.9914300,16745.8000000,2458712.0532400
"1378.01",249812036,"FP",5.7785318,4990.0000000,2460561.3953060
"1380.01",274170255,"FP",1.4107200,500.0000000,2458712.0495100
"1381.01",275722992,"PC",6.5601782,2474.0000000,2460552.1743450
"1383.01",313506357,"FP",1.5327030,1250.0000000,2459880.0293720
"1384.01",328167090,"FP",0.7131492,450.0000000,2459880.7566630
"1385.01",329864959,"FP",4.5231800,25109.1000000,2458739.9674400
"1386.01",343019899,"CP",25.8386422,1806.0000000,2460561.0179240
"1387.01",343442463,"FP",0.7838100,426.0990000,2458739.5222000
"1388.01",346338552,"KP",4.4652986,14440.0000000,2460606.4368820
"1389.01",353038705,"PC",3.0626240,580.0000000,2459851.0635330
"1390.01",365389353,"FP",2.6380089,1683.0000000,2460605.1601780
"1391.01",389182138,"FP",2.7260173,1165.0000000,2460610.1621440
"1392.01",416987878,"FP",2.8687600,1030.0000000,2458712.7665000
"1393.01",430528566,"FP",0.5590256,660.0000000,2460405.4429090
"1394.01",431156009,"FP",2.9581480,980.0000000,2460403.6633040
"1395.01",468472950,"FP",0.9873600,370.0000000,2458712.3583100
"1396.01",468845640,"FP",3.9930700,3892.8100000,2458741.7291400
"1397.01",64553698,"FP",8.6795072,10160.0000000,2458965.0509090
"1398.01",66445643,"APC",6.5560604,861.0000000,2460420.9375020
"1399.01",66783360,"FP",1.3812787,1573.0000000,2459881.3063200
"1400.01",258801269,"FP",5.4892300,910.0000000,2458689.0256800
"1401.01",259126549,"FP",7.3845072,25160.0000000,2459658.9489280
"1403.01",328750515,"FP",2.3359622,3066.2492749,2459825.3447850
"1404.01",352239069,"PC",6.8674054,779.0000000,2459908.5125460
